,carat,cut,color,clarity,depth,table,price
7376,1.07,Premium,H,SI1,62.9,61.0,4440
7377,0.3,Very Good,F,VS1,59.8,59.0,704
7378,0.8,Good,E,SI2,61.4,59.0,2542
7379,2.07,Ideal,I,SI2,62.0,55.0,16189
7380,1.21,Ideal,G,VS2,61.2,57.0,7792
7381,0.54,Ideal,G,VS1,62.2,56.0,1760
7382,1.1,Premium,F,VS1,60.9,61.0,7762
7383,1.29,Premium,I,SI1,62.1,58.0,6140
7384,1.06,Ideal,F,VS2,61.1,56.5,7637
7385,0.39,Good,G,VS2,63.8,59.0,787
7386,1.01,Very Good,F,VVS2,61.9,56.0,8525
7387,0.7,Very Good,F,SI1,61.4,59.0,2312
7388,0.55,Very Good,D,SI1,63.1,56.0,1593
7389,1.64,Premium,J,SI2,63.0,58.0,5624
7390,1.32,Ideal,G,VS1,61.7,56.0,11079
7391,1.14,Ideal,J,VS2,61.4,55.0,4906
7392,1.21,Ideal,H,SI1,60.7,57.0,7810
7393,0.32,Ideal,E,VS2,62.2,56.0,900
7394,0.8,Ideal,E,SI1,61.7,56.0,3630
7395,0.71,Ideal,D,SI2,62.3,56.0,2416
7396,0.61,Ideal,F,VVS2,61.5,56.0,2660
7397,0.91,Good,D,SI1,64.0,58.0,3796
7398,1.14,Ideal,G,VVS1,61.1,58.0,10933
7399,0.73,Very Good,F,SI2,58.0,61.0,2485
7400,0.34,Ideal,G,VVS2,61.1,57.0,995
7401,0.75,Good,D,SI2,59.9,61.0,2541
7402,0.31,Premium,E,VVS1,58.9,59.0,969
7403,1.5,Ideal,J,SI1,61.1,56.7,7520
7404,0.32,Premium,G,VS2,60.2,57.0,720
7405,1.5,Premium,H,SI2,60.8,58.0,8148
7406,0.59,Ideal,F,SI2,59.5,57.0,1221
7407,0.81,Premium,G,VS1,62.3,56.0,3266
7408,1.01,Very Good,D,SI2,62.8,59.0,4588
7409,0.55,Ideal,G,VS1,61.3,57.0,1792
7410,0.32,Premium,F,VS2,60.6,59.0,645
7411,0.9,Good,G,SI1,63.7,58.0,3734
7412,0.52,Ideal,G,VVS1,60.6,57.0,2387
7413,1.0,Ideal,G,VVS2,59.8,54.0,7885
7414,1.01,Premium,D,VS1,62.4,58.0,8416
7415,0.32,Very Good,H,VVS2,63.4,56.0,828
7416,1.16,Very Good,J,VS2,63.7,56.0,4323
7417,0.9,Premium,E,VS2,61.4,57.0,4435
7418,0.3,Premium,H,VS1,62.0,58.0,675
7419,0.32,Premium,H,VS2,62.7,58.0,605
7420,0.29,Very Good,G,VS2,61.7,56.0,471
7421,0.9,Good,F,SI1,58.0,58.0,3699
7422,1.21,Very Good,G,VVS2,59.3,58.0,9942
7423,0.71,Premium,G,SI2,60.8,60.0,2039
7424,0.72,Premium,E,SI2,61.7,58.0,2125
7425,0.9,Fair,D,SI1,63.8,61.0,4252
7426,0.73,Very Good,H,SI1,62.7,59.0,2359
7427,1.25,Very Good,H,SI1,62.4,55.0,6113
7428,1.2,Premium,H,SI1,60.8,60.0,6282
7429,0.3,Ideal,F,IF,61.4,57.0,886
7430,0.83,Ideal,E,SI2,61.9,53.0,3103
7431,0.57,Ideal,H,VVS1,60.9,56.0,1949
7432,0.94,Very Good,H,SI2,61.9,57.0,3394
7433,0.83,Premium,G,VS1,58.8,58.0,3602
7434,0.38,Ideal,E,SI1,61.4,57.0,653
7435,0.9,Good,F,SI1,63.9,59.0,4062
7436,0.55,Ideal,I,VS2,61.3,54.0,1216
7437,0.72,Ideal,F,VS1,62.0,56.0,2879
7438,1.21,Very Good,F,VS2,62.9,54.0,8403
7439,0.31,Ideal,F,VS2,60.8,56.0,625
7440,0.36,Very Good,E,VS2,62.1,59.0,789
7441,0.28,Ideal,F,VS1,62.0,53.0,665
7442,1.0,Ideal,H,VS2,61.2,60.0,6133
7443,0.41,Premium,E,VVS1,60.0,61.0,1130
7444,0.41,Ideal,H,SI1,62.8,56.0,876
7445,0.7,Premium,E,VS2,62.6,56.0,2822
7446,0.45,Good,F,VS1,59.0,62.0,1012
7447,0.82,Ideal,F,SI2,60.9,57.0,2966
7448,0.25,Very Good,E,VVS1,62.3,55.0,633
7449,0.23,Very Good,D,VVS2,59.6,61.0,499
7450,0.36,Very Good,E,IF,60.3,57.0,1368
7451,0.8,Very Good,H,SI1,63.3,58.0,2485
7452,2.51,Very Good,I,SI2,62.3,57.0,18090
7453,1.09,Premium,I,VS2,63.0,56.0,4519
7454,1.41,Good,D,SI2,63.9,60.0,7501
7455,2.21,Very Good,F,SI2,61.0,58.0,18483
7456,2.01,Very Good,I,VS1,62.8,59.0,17877
7457,0.9,Very Good,D,VS2,63.3,59.0,4981
7458,0.43,Ideal,G,IF,61.2,57.0,1433
7459,0.9,Premium,E,SI2,61.6,59.0,3856
7460,0.3,Ideal,H,VS2,62.3,57.0,491
7461,1.0,Very Good,H,VS2,63.3,62.0,4652
7462,0.7,Very Good,H,SI1,63.0,55.0,2048
7463,0.32,Premium,H,VVS1,60.9,58.0,936
7464,0.26,Premium,E,VVS1,60.9,59.0,814
7465,1.59,Ideal,F,VS1,62.9,57.0,17366
7466,1.01,Premium,E,SI1,60.7,58.0,5525
7467,0.73,Premium,F,VS2,60.3,59.0,2841
7468,0.92,Very Good,E,SI1,63.3,57.0,3586
7469,0.31,Ideal,F,VS2,61.3,57.0,802
7470,0.38,Ideal,G,VVS1,61.9,56.0,993
7471,0.75,Fair,J,VS2,59.1,66.0,1944
7472,1.01,Good,D,SI2,64.0,56.0,4234
7473,0.81,Premium,E,SI2,60.1,59.0,2368
7474,1.03,Ideal,I,VS1,61.3,53.0,5181
7475,0.37,Premium,E,VS2,61.5,58.0,1041
7476,0.52,Ideal,E,VS2,61.5,56.0,1644
7477,0.31,Ideal,F,SI1,60.5,57.0,663
7478,0.78,Ideal,H,SI2,61.6,54.0,2332
7479,0.72,Premium,I,SI1,60.8,58.0,1858
7480,1.01,Ideal,H,SI1,61.2,57.0,5387
7481,2.18,Very Good,G,SI2,63.1,58.0,16878
7482,1.01,Fair,D,SI1,64.4,61.0,5147
7483,0.37,Premium,E,VS2,60.3,58.0,811
7484,0.32,Ideal,E,VVS1,61.6,56.0,1020
7485,0.31,Ideal,E,VS2,62.0,56.0,872
7486,0.72,Fair,H,SI2,66.0,60.0,1799
7487,0.31,Ideal,F,SI1,61.7,55.0,490
7488,0.7,Good,E,VS1,61.3,62.0,3277
7489,1.09,Ideal,J,VS2,61.3,57.0,4131
7490,0.32,Premium,H,VS2,59.5,58.0,648
7491,0.7,Premium,D,SI2,60.6,58.0,2596
7492,0.3,Premium,H,VS2,63.0,59.0,608
7493,1.31,Ideal,H,SI1,60.8,56.0,7519
7494,0.9,Premium,E,SI1,62.9,58.0,4158
7495,1.25,Premium,J,VS1,62.0,58.0,5500
7496,0.32,Ideal,E,VS2,62.1,55.0,702
7497,0.27,Very Good,G,VVS1,62.5,56.0,566
7498,1.01,Ideal,J,SI2,61.6,55.0,3801
7499,0.55,Ideal,G,VVS1,61.2,56.0,2632
7500,0.56,Ideal,E,VS2,61.7,54.0,1819
7501,1.02,Ideal,F,SI1,60.1,59.0,5549
7502,0.72,Fair,G,VS2,64.6,55.0,2306
7503,1.19,Good,J,VS1,63.6,54.0,4931
7504,1.02,Ideal,E,VVS2,61.5,57.0,10384
7505,0.82,Fair,H,SI1,64.9,58.0,3057
7506,1.5,Fair,H,SI1,66.1,57.0,7832
7507,2.05,Ideal,G,SI2,61.6,56.0,18017
7508,1.0,Good,E,SI2,64.0,54.0,4026
7509,2.01,Very Good,H,SI1,62.8,59.0,17759
7510,0.78,Very Good,F,VS1,63.3,56.0,3563
7511,0.47,Premium,E,VS1,61.8,58.0,1640
7512,0.3,Good,D,VVS2,61.6,63.0,719
7513,1.0,Ideal,H,VVS1,61.5,59.0,6535
7514,0.3,Ideal,F,VVS1,62.1,55.0,868
7515,0.56,Ideal,H,VVS1,61.7,55.0,1941
7516,1.38,Ideal,F,SI2,62.0,58.0,7767
7517,1.71,Ideal,H,VS2,61.9,57.0,9618
7518,0.7,Fair,H,SI1,66.0,56.0,1840
7519,0.83,Ideal,H,VVS1,63.4,56.0,3846
7520,0.54,Premium,D,VS1,60.5,58.0,1847
7521,0.3,Ideal,D,VS2,61.8,55.0,911
7522,1.02,Premium,H,VS2,60.0,58.0,4958
7523,1.65,Ideal,I,SI1,61.7,55.0,10365
7524,0.31,Ideal,G,VVS2,62.4,56.0,707
7525,0.55,Ideal,F,VS1,61.3,57.0,1809
7526,0.54,Ideal,D,SI1,61.7,55.0,1650
7527,2.02,Ideal,J,VS1,61.9,58.0,15231
7528,1.01,Very Good,G,SI1,62.9,54.0,4588
7529,0.43,Ideal,E,VS2,61.9,56.0,1048
7530,1.0,Good,H,SI1,63.8,53.0,4596
7531,1.02,Good,H,SI1,63.5,58.0,4604
7532,0.91,Fair,D,SI1,64.4,60.0,3855
7533,1.6,Ideal,I,SI1,62.4,56.0,9901
7534,0.51,Fair,D,SI2,66.5,58.0,1109
7535,0.31,Very Good,D,SI2,61.8,60.0,462
7536,0.43,Ideal,J,VS1,61.7,58.0,703
7537,0.9,Very Good,H,SI2,59.6,59.0,3250
7538,1.6,Premium,H,SI2,62.4,60.0,9229
7539,0.56,Ideal,H,VS2,61.3,56.0,1625
7540,0.45,Fair,H,VVS2,65.8,56.0,1227
7541,1.11,Good,F,SI1,63.1,56.0,5769
7542,1.5,Very Good,H,SI1,61.4,57.0,9035
7543,0.34,Ideal,G,VVS2,62.0,56.0,735
7544,0.7,Premium,D,SI1,61.4,59.0,2218
7545,0.32,Ideal,D,SI1,62.7,54.0,589
7546,0.5,Premium,E,VS2,60.5,60.0,1581
7547,1.35,Ideal,H,VS2,61.6,55.0,6502
7548,1.05,Premium,G,SI2,61.7,56.0,4116
7549,1.14,Very Good,H,SI1,63.1,58.0,5458
7550,0.27,Ideal,G,VVS1,62.5,56.0,627
7551,0.7,Premium,G,VS2,61.3,58.0,2596
7552,0.31,Good,D,SI2,63.7,55.0,462
7553,0.34,Ideal,F,VS2,62.1,56.0,880
7554,0.26,Very Good,D,VS2,59.6,63.0,420
7555,0.31,Good,G,SI1,63.6,57.0,593
7556,0.31,Ideal,E,VS2,61.7,55.0,680
7557,1.0,Good,I,VS2,61.7,60.2,4761
7558,1.0,Good,E,SI1,63.2,57.0,5299
7559,0.31,Ideal,E,SI1,61.6,54.0,516
7560,1.5,Very Good,F,SI2,62.9,55.0,9817
7561,0.4,Ideal,H,VS2,61.4,55.0,725
7562,0.38,Ideal,J,VS2,61.4,57.0,617
7563,0.3,Ideal,E,VS2,62.6,54.0,658
7564,1.35,Ideal,G,VVS2,61.5,55.0,13230
7565,2.0,Very Good,J,SI2,59.8,60.0,11792
7566,0.33,Premium,I,VVS2,61.0,58.0,579
7567,0.31,Premium,F,VS2,61.8,59.0,625
7568,0.58,Ideal,J,SI1,61.5,55.0,1089
7569,0.5,Premium,D,VS2,61.4,59.0,1752
7570,0.32,Very Good,I,VS2,63.0,57.0,449
7571,0.42,Premium,H,VS1,61.6,58.0,1087
7572,0.72,Ideal,D,SI1,61.1,56.0,2891
7573,1.08,Ideal,G,VS2,61.3,56.0,6706
7574,0.33,Ideal,H,VS1,62.0,55.0,743
7575,2.01,Premium,J,SI1,63.0,57.0,13219
7576,0.26,Ideal,H,VVS1,61.2,56.0,600
7577,1.0,Very Good,H,SI2,63.1,58.0,3975
7578,0.31,Ideal,D,VS2,60.4,56.0,942
7579,1.23,Ideal,G,VS1,61.8,58.0,9116
7580,2.06,Good,J,SI1,64.1,56.0,11746
7581,1.16,Ideal,G,VS2,61.7,57.0,7113
7582,0.41,Ideal,E,VS1,61.7,55.0,1079
7583,0.77,Premium,D,SI1,59.5,60.0,2939
7584,1.06,Very Good,I,SI1,62.8,56.0,4255
7585,0.7,Good,H,VS2,63.9,59.0,2330
7586,0.34,Ideal,G,VS2,62.5,57.0,765
7587,0.57,Ideal,E,VS2,61.8,55.0,1949
7588,0.32,Ideal,F,VVS1,62.1,56.0,990
7589,0.32,Premium,I,SI1,61.1,59.0,421
7590,0.5,Premium,G,SI2,62.6,58.0,1121
7591,1.5,Premium,H,SI1,59.0,62.0,10038
7592,0.32,Very Good,E,VVS1,60.9,58.0,931
7593,0.45,Ideal,G,VS1,59.0,60.0,1055
7594,0.52,Very Good,D,VS2,60.0,57.0,1664
7595,0.35,Ideal,H,VS1,62.0,56.0,614
7596,1.2,Premium,H,SI2,59.6,60.0,4906
7597,1.11,Ideal,H,SI2,62.6,56.0,4719
7598,0.3,Ideal,E,VVS2,60.2,57.0,1013
7599,0.31,Ideal,D,VS2,61.9,56.0,942
7600,0.51,Premium,D,VS2,61.9,62.0,1812
7601,0.35,Ideal,I,VS1,62.1,54.0,571
7602,2.03,Ideal,J,SI1,62.6,55.0,13357
7603,0.32,Ideal,E,VS1,59.5,57.0,657
7604,0.35,Ideal,G,VS2,61.0,57.0,633
7605,1.03,Very Good,G,VS1,60.6,58.0,6487
7606,0.7,Very Good,F,SI1,61.3,59.0,2401
7607,0.51,Premium,E,VS1,61.3,58.0,1928
7608,0.33,Premium,E,SI1,61.1,58.0,579
7609,2.14,Premium,I,VS2,59.3,59.0,15418
7610,0.75,Fair,F,VS1,55.8,70.0,2859
7611,0.9,Good,D,SI2,63.9,60.0,3153
7612,2.54,Very Good,I,SI2,62.4,60.0,17996
7613,0.7,Very Good,J,VS2,61.1,61.0,1952
7614,0.58,Ideal,F,SI1,62.3,54.0,1401
7615,0.24,Very Good,E,VVS1,61.5,59.0,485
7616,0.3,Ideal,E,VS1,62.5,54.0,703
7617,0.71,Ideal,E,VS2,62.9,55.0,2613
7618,1.29,Premium,H,SI2,60.1,58.0,5924
7619,0.75,Good,E,VS2,62.6,58.0,3084
7620,0.53,Premium,G,VS2,59.9,60.0,1435
7621,1.03,Ideal,G,SI1,61.6,55.0,5518
7622,0.38,Premium,E,VVS1,60.6,59.0,1047
7623,0.57,Ideal,F,VVS1,61.9,54.8,2339
7624,0.9,Good,G,SI1,64.2,58.0,3307
7625,1.5,Very Good,J,VS2,62.6,58.0,7492
7626,0.72,Ideal,D,VS2,62.8,57.0,3179
7627,1.15,Premium,I,SI1,62.2,56.0,4637
7628,1.05,Premium,H,SI1,61.9,58.0,4608
7629,1.58,Very Good,H,VS2,61.4,60.0,10608
7630,0.51,Premium,E,SI1,62.6,60.0,1237
7631,0.58,Ideal,I,VVS1,62.1,56.0,1680
7632,0.51,Ideal,D,SI2,60.9,56.0,1383
7633,1.53,Ideal,F,SI1,62.5,57.0,11525
7634,0.7,Very Good,D,SI1,59.4,63.0,2628
7635,1.05,Ideal,G,VVS2,62.5,55.0,8645
7636,1.01,Very Good,E,SI2,63.2,59.0,4561
7637,0.42,Ideal,E,VS2,61.8,57.0,958
7638,1.51,Premium,H,SI1,61.2,60.0,10012
7639,0.53,Fair,E,SI1,56.2,64.0,1286
7640,1.0,Good,G,VS2,63.4,57.0,5702
7641,2.03,Very Good,I,SI1,62.3,60.0,16392
7642,0.58,Ideal,G,IF,62.1,56.0,2528
7643,1.52,Ideal,E,SI2,60.1,57.0,9576
7644,0.33,Ideal,G,IF,61.6,53.0,1052
7645,1.0,Very Good,H,SI2,63.7,58.0,4395
7646,0.71,Ideal,E,VS2,62.5,55.0,3247
7647,0.7,Very Good,I,VS2,63.0,60.0,1867
7648,0.9,Very Good,E,SI1,63.1,61.0,4092
7649,1.81,Fair,J,I1,68.0,57.0,5859
7650,1.71,Ideal,E,SI2,62.7,55.0,13097
7651,0.41,Good,E,SI1,63.3,57.0,755
7652,1.21,Ideal,I,VVS1,61.6,55.0,7086
7653,1.02,Ideal,G,VS2,60.5,57.0,6356
7654,1.64,Premium,E,SI1,59.5,58.0,14107
7655,0.92,Premium,J,SI1,62.9,58.0,2858
7656,0.52,Premium,E,VS1,59.2,59.0,1739
7657,1.0,Ideal,H,SI1,61.4,55.0,4676
7658,1.08,Premium,G,SI2,62.9,59.0,4627
7659,1.13,Ideal,I,VS1,61.9,55.0,6980
7660,0.33,Ideal,D,VS2,62.5,56.0,1002
7661,0.3,Ideal,F,IF,60.9,56.0,886
7662,0.71,Good,F,SI2,63.6,60.0,2072
7663,0.36,Ideal,E,VS1,61.8,56.0,817
7664,0.31,Ideal,G,SI1,61.2,55.0,446
7665,0.3,Very Good,G,SI1,61.0,57.0,447
7666,0.91,Very Good,F,SI1,59.7,55.0,4279
7667,0.3,Ideal,E,VVS2,61.6,56.0,766
7668,1.0,Good,J,VS2,62.0,61.0,3835
7669,1.01,Good,F,VS2,63.1,60.0,6416
7670,1.5,Premium,G,SI2,61.7,55.0,5460
7671,0.35,Ideal,I,VS2,62.5,57.0,491
7672,0.7,Premium,E,SI1,59.1,62.0,2592
7673,1.54,Premium,G,SI1,63.0,59.0,8176
7674,0.61,Premium,D,VS1,61.5,58.0,2306
7675,1.51,Very Good,I,VS2,63.0,60.0,8952
7676,1.05,Ideal,G,VVS2,61.4,56.0,9555
7677,1.11,Ideal,E,SI1,62.5,54.0,6737
7678,0.31,Ideal,H,IF,61.8,56.0,816
7679,1.5,Premium,H,VS2,61.8,59.0,11464
7680,1.05,Very Good,F,IF,59.7,55.0,11417
7681,1.13,Good,F,SI2,64.0,58.0,3952
7682,0.56,Premium,D,VS2,61.1,58.0,2066
7683,0.3,Premium,I,VS1,61.7,58.0,473
7684,0.72,Very Good,J,SI1,63.0,57.0,1966
7685,0.6,Very Good,H,VS2,60.8,60.0,1557
7686,0.3,Good,H,SI2,63.9,57.0,378
7687,0.82,Ideal,H,VS1,61.5,56.0,3364
7688,0.3,Ideal,E,VVS2,61.9,57.0,1013
7689,0.7,Very Good,E,VS1,61.3,60.0,2952
7690,0.9,Premium,F,SI1,61.2,59.0,4158
7691,0.8,Premium,H,SI1,62.5,59.0,2553
7692,0.54,Ideal,F,VS2,62.8,57.0,1621
7693,1.5,Very Good,G,SI1,60.1,61.0,10019
7694,0.51,Premium,D,VVS2,62.4,59.0,2387
7695,0.51,Ideal,D,SI2,62.5,55.0,1359
7696,0.32,Ideal,E,VS1,59.9,55.0,972
7697,1.21,Good,I,VS2,64.1,61.0,5028
7698,0.73,Ideal,H,SI1,62.0,55.0,2656
7699,0.72,Ideal,H,VS1,61.6,59.0,2642
7700,1.01,Ideal,H,VS2,61.7,56.0,5936
7701,0.35,Ideal,D,VS2,60.7,56.0,1063
7702,0.8,Very Good,H,VVS1,62.9,58.0,4468
7703,0.38,Ideal,G,SI1,60.2,57.0,639
7704,1.13,Ideal,D,SI2,60.1,55.0,5412
7705,0.36,Premium,F,SI1,61.1,60.0,616
7706,0.71,Very Good,E,VS1,62.6,59.0,3464
7707,0.34,Ideal,E,VS2,59.8,56.0,816
7708,0.4,Ideal,F,SI1,61.6,55.0,703
7709,0.31,Ideal,I,VS2,61.6,55.0,452
7710,1.51,Good,I,VS1,63.6,57.0,9581
7711,0.32,Ideal,H,VS1,61.0,56.0,580
7712,0.76,Ideal,J,SI1,61.9,53.0,1859
7713,1.04,Ideal,F,VS2,61.6,56.0,8415
7714,2.06,Ideal,H,SI2,61.5,56.0,12119
7715,0.31,Ideal,D,VS1,62.1,57.0,683
7716,1.11,Ideal,J,VS2,61.7,54.0,5051
7717,1.7,Premium,J,VVS1,62.9,60.0,11005
7718,0.34,Ideal,E,VS1,61.2,57.0,805
7719,1.2,Very Good,F,VS2,61.1,58.0,8232
7720,0.4,Good,D,VVS2,60.2,63.0,1135
7721,1.51,Premium,F,VS2,60.4,59.0,14247
7722,0.7,Very Good,F,VVS2,61.3,59.0,3974
7723,0.71,Good,F,VS2,57.8,60.0,2777
7724,1.5,Ideal,I,SI1,62.3,56.0,8371
7725,1.0,Very Good,G,VS2,61.5,58.0,5860
7726,1.05,Premium,G,IF,60.6,60.0,8850
7727,0.31,Premium,H,VVS2,61.2,60.0,802
7728,0.5,Very Good,D,VS1,62.3,57.0,1847
7729,2.74,Fair,J,I1,64.9,61.0,8807
7730,1.21,Premium,G,VVS2,59.6,60.0,9541
7731,1.3,Ideal,G,VVS2,62.4,56.1,11633
7732,1.51,Premium,I,VVS2,62.1,58.0,9328
7733,1.02,Fair,I,SI2,65.5,57.0,3802
7734,0.52,Very Good,G,SI1,60.6,61.0,1161
7735,1.01,Premium,E,VS2,62.1,58.0,6425
7736,1.71,Premium,G,SI2,60.9,58.0,11248
7737,1.51,Premium,E,VS2,62.2,58.0,13757
7738,0.73,Ideal,F,VS1,61.4,55.0,3797
7739,1.7,Premium,G,VS1,61.0,59.0,16521
7740,1.01,Very Good,E,VS2,62.9,57.0,6488
7741,0.3,Ideal,G,VS1,63.1,55.0,624
7742,0.34,Ideal,G,VS2,61.5,57.0,596
7743,0.32,Ideal,G,VS1,60.8,57.0,828
7744,2.02,Ideal,H,SI2,63.0,57.0,15974
7745,0.35,Ideal,D,VVS2,61.0,57.0,910
7746,2.04,Premium,G,SI2,62.1,59.0,14900
7747,0.32,Ideal,E,VS2,62.0,55.0,900
7748,0.71,Premium,I,VVS1,63.0,58.0,2572
7749,0.75,Premium,I,SI1,59.1,58.0,2295
7750,0.62,Fair,D,SI2,64.6,57.0,1410
7751,0.48,Very Good,E,VVS1,60.6,56.0,2275
7752,0.38,Premium,F,VS2,60.5,59.0,1026
7753,0.71,Ideal,G,VS1,61.0,56.0,3251
7754,0.35,Premium,G,VS1,62.3,59.0,706
7755,0.5,Very Good,E,VS2,62.9,55.0,1559
7756,0.3,Very Good,E,VS2,60.7,63.0,612
7757,0.31,Good,G,VS1,63.8,57.0,625
7758,0.3,Ideal,E,VVS2,61.4,57.0,1013
7759,0.5,Ideal,E,VS2,62.9,54.0,1629
7760,0.91,Premium,G,SI1,62.6,58.0,3975
7761,0.53,Very Good,D,SI2,60.2,56.0,1307
7762,1.52,Premium,G,VS2,62.8,60.0,13768
7763,1.14,Premium,H,SI1,60.7,58.0,5003
7764,1.51,Ideal,D,SI1,62.0,56.0,13162
7765,1.0,Premium,H,SI2,62.7,59.0,4032
7766,0.33,Ideal,G,VVS2,60.1,57.0,965
7767,0.41,Ideal,F,VVS1,61.6,55.0,1196
7768,0.78,Ideal,E,SI2,60.8,56.0,2340
7769,0.9,Very Good,H,SI2,62.1,58.0,3492
7770,0.39,Ideal,D,VS1,62.0,57.0,1095
7771,0.53,Ideal,G,VVS2,60.4,59.0,1946
7772,0.54,Ideal,G,VVS1,61.7,56.0,2041
7773,0.36,Premium,E,VS2,62.0,58.0,789
7774,0.35,Very Good,G,IF,60.5,56.0,1001
7775,1.08,Premium,G,VS1,61.5,61.0,6532
7776,0.33,Premium,G,VVS2,61.0,58.0,752
7777,0.69,Very Good,I,VS2,63.3,57.0,2070
7778,1.2,Very Good,J,VS2,63.1,56.0,4232
7779,0.36,Very Good,F,VVS2,61.6,55.0,872
7780,1.1,Very Good,F,VS2,63.5,55.0,5218
7781,2.05,Premium,I,SI2,62.0,58.0,9850
7782,2.01,Good,G,SI1,60.8,61.0,18077
7783,0.32,Premium,H,VS2,60.7,58.0,505
7784,0.42,Very Good,H,VVS1,63.9,56.0,1042
7785,0.9,Very Good,D,SI2,64.0,58.0,3789
7786,0.42,Ideal,G,VVS2,62.4,55.0,1103
7787,0.7,Ideal,J,VVS2,62.7,56.0,1790
7788,0.5,Very Good,F,VVS2,61.2,57.0,1891
7789,0.41,Ideal,G,VVS2,62.2,56.0,1076
7790,0.37,Ideal,E,SI1,62.7,54.0,649
7791,0.3,Ideal,G,VVS1,61.7,54.0,764
7792,2.42,Premium,J,SI2,62.4,58.0,16198
7793,0.26,Ideal,E,VVS2,62.5,55.0,724
7794,1.06,Premium,E,VS1,63.0,58.0,8044
7795,0.54,Premium,G,VS1,61.1,59.0,1684
7796,0.83,Good,G,VS2,63.7,60.9,3195
7797,1.13,Premium,G,VS1,61.6,58.0,7720
7798,0.44,Ideal,G,VVS1,61.6,56.0,1294
7799,0.58,Ideal,H,SI1,60.6,56.0,1386
7800,0.37,Premium,F,VS2,59.7,62.0,894
7801,1.01,Very Good,H,SI1,63.6,56.0,4873
7802,0.89,Premium,H,SI2,62.2,59.0,2610
7803,0.52,Very Good,E,SI1,60.8,56.0,1343
7804,0.31,Premium,E,SI1,62.7,58.0,698
7805,0.62,Ideal,F,SI2,62.0,58.0,1446
7806,0.75,Very Good,G,VS2,63.3,58.0,2467
7807,0.33,Ideal,G,VS2,62.2,56.0,743
7808,0.98,Fair,H,SI2,67.9,60.0,2777
7809,0.7,Ideal,G,SI1,61.6,56.0,2478
7810,0.94,Premium,F,SI1,59.8,61.0,4748
7811,0.9,Ideal,E,VS1,61.3,57.0,5335
7812,0.51,Good,G,SI2,63.6,54.0,1129
7813,0.33,Ideal,G,VVS2,61.3,56.0,730
7814,0.34,Ideal,D,I1,62.5,57.0,530
7815,1.09,Premium,G,VS2,59.9,56.0,5889
7816,0.34,Ideal,E,SI1,62.7,55.0,596
7817,1.0,Very Good,H,SI1,62.1,58.0,5247
7818,1.19,Premium,H,SI1,62.7,61.0,5698
7819,0.9,Premium,H,VS2,61.6,58.0,4032
7820,0.66,Ideal,E,SI2,61.9,55.0,1560
7821,1.04,Ideal,G,SI2,62.4,54.0,5044
7822,0.38,Ideal,J,VS1,62.0,53.0,645
7823,0.41,Ideal,G,VS2,62.1,57.0,1061
7824,0.3,Ideal,E,VS2,61.4,56.0,795
7825,0.27,Premium,E,VVS2,59.0,59.0,799
7826,0.3,Ideal,D,SI1,61.8,56.0,508
7827,1.11,Premium,E,VS2,62.2,58.0,7619
7828,1.14,Premium,G,SI2,62.8,58.0,4233
7829,1.05,Ideal,J,VS1,60.6,56.0,3528
7830,1.2,Ideal,I,VS2,61.5,57.0,5880
7831,0.28,Very Good,F,VVS1,58.9,62.0,572
7832,0.5,Very Good,F,SI2,62.5,56.0,1020
7833,0.55,Ideal,E,VS1,61.2,57.0,2107
7834,0.61,Very Good,E,VS1,59.6,63.0,2025
7835,1.14,Premium,F,VS2,62.0,59.0,7275
7836,0.31,Good,E,SI1,63.3,55.0,544
7837,0.8,Premium,G,SI2,62.1,55.0,2484
7838,0.55,Premium,F,SI2,60.6,58.0,1175
7839,0.3,Good,H,SI1,63.4,58.0,421
7840,1.65,Premium,I,SI2,62.0,59.0,8590
7841,0.3,Ideal,F,VS2,60.4,56.0,605
7842,0.91,Premium,E,SI1,62.6,58.0,4211
7843,0.31,Ideal,I,VS2,62.3,54.0,452
7844,1.26,Ideal,G,VVS2,60.7,56.0,10367
7845,0.92,Very Good,E,SI1,63.0,57.0,4254
7846,0.4,Premium,E,VS2,62.2,59.0,975
7847,1.25,Ideal,E,SI2,62.3,57.0,6670
7848,0.31,Very Good,E,SI2,60.8,61.0,435
7849,0.56,Ideal,G,VS1,62.0,56.0,1822
7850,1.06,Very Good,H,SI2,61.7,59.5,4465
7851,0.96,Very Good,G,VS1,60.5,63.0,4892
7852,0.54,Premium,G,VS1,61.1,60.0,1637
7853,0.3,Ideal,F,VVS1,61.9,57.0,868
7854,0.4,Good,J,VS1,63.2,57.0,631
7855,1.21,Very Good,F,SI1,60.2,60.0,7877
7856,1.09,Very Good,E,SI2,62.2,58.0,5165
7857,0.52,Very Good,F,VS2,60.4,56.0,1581
7858,1.01,Premium,G,VS1,62.6,59.0,6618
7859,0.53,Very Good,F,SI1,62.9,57.0,1268
7860,1.11,Premium,I,I1,61.8,59.0,3183
7861,0.65,Ideal,G,VVS1,61.9,56.0,3248
7862,0.41,Premium,E,SI1,61.2,59.0,904
7863,2.22,Very Good,J,SI2,61.2,63.0,10662
7864,0.41,Very Good,D,SI1,63.0,59.0,838
7865,0.32,Premium,E,VVS2,59.9,58.0,842
7866,1.01,Fair,E,SI2,57.9,57.0,3916
7867,0.55,Ideal,G,VS2,60.4,56.0,1854
